R13230,,,,
압력(psig),연소속도(cm/s),AP,Binder,Aluminium
4.4,0.129,0.775,0.225,0
483.8,0.473,,,
983.5,0.612,,,
1471.7,0.732,,,
1984.3,0.842,,,
