R13232,,,,
압력(psig),연소속도(cm/s),AP,Binder,Aluminium
5.9,0.126,0.775,0.225,0
482.8,0.459,,,
984.8,0.545,,,
1480.9,0.618,,,
1981.9,0.694,,,
