R13233,,,,
압력(psig),연소속도(cm/s),AP,Binder,Aluminium
8.9,0.147,0.775,0.225,0
485.3,0.507,,,
986.6,0.662,,,
1490.6,0.814,,,
1987.8,0.949,,,
