R13234,,,,
압력(psig),연소속도(cm/s),AP,Binder,Aluminium
5.6,0.138,0.775,0.225,0
487.4,0.479,,,
985.4,0.561,,,
1481.2,0.673,,,
1988.9,0.783,,,
